Date,Open,High,Low,Close,Volume
2024-03-06,1010.73,1025.51,1010.73,1021.95,1488887
2024-03-07,1020.59,1020.59,994.18,1008.17,1979951
2024-03-08,1006.56,1027.43,1006.56,1026.99,1502238
2024-03-11,1028.99,1028.99,1013.01,1019.09,3132107
2024-03-12,1018.19,1022.89,1017.22,1019.1,2726468
2024-03-13,1020.85,1046.65,1020.85,1037.93,2113273
2024-03-14,1037.63,1037.63,1009.87,1021.55,1758718
2024-03-15,1013.28,1030.93,1013.28,1026.19,1931674
2024-03-18,1025.41,1037.3,1025.41,1031.16,2339704
2024-03-19,1028.75,1033.97,1026.67,1029.88,933705
2024-03-20,1026.94,1033.78,1026.94,1032.23,1948721
2024-03-21,1029.79,1054.15,1029.79,1053.91,1772097
2024-03-22,1061.69,1061.69,1037.95,1038.33,2177389
2024-03-25,1033.6,1055.4,1033.6,1050.91,1924784
2024-03-26,1053.3,1060.73,1043.2,1055.87,1038908
2024-03-27,1057.84,1065.16,1057.84,1062.56,1956213
2024-03-28,1068.09,1068.09,1031.44,1036.24,2561261
2024-03-29,1028.3,1071.4,1028.3,1058.35,2445440
2024-04-01,1061.08,1068.52,1048.45,1061.25,1043540
2024-04-02,1059.28,1069.34,1059.28,1064.67,2349397
2024-04-03,1061.15,1061.15,1034.78,1046.17,1884259
2024-04-04,1046.58,1052.73,1044.31,1048.39,1422492
2024-04-05,1045.72,1075.32,1045.72,1070.24,1486254
2024-04-08,1069.45,1086.68,1069.45,1085.73,2046563
2024-04-09,1089.33,1089.33,1082.7,1083.89,2068953
2024-04-10,1080.68,1087.63,1075.95,1082.05,1406204
2024-04-11,1091.92,1093.27,1082.67,1092.97,1809688
2024-04-12,1086.46,1086.46,1071.85,1072.34,1699802
2024-04-15,1069.09,1078.67,1069.09,1075.71,2514673
2024-04-16,1079.82,1079.82,1070.92,1073.32,1526124
2024-04-17,1079.33,1083.92,1074.36,1079.21,1579807
2024-04-18,1084.37,1098.76,1084.37,1093.55,2128950
2024-04-19,1090.79,1101.07,1089.57,1093.25,1430446
2024-04-22,1094.83,1094.83,1071.05,1084.86,1869563
2024-04-23,1082.23,1084.06,1073.41,1077.36,1531993
2024-04-24,1074.64,1096.34,1074.64,1086.45,1827950
2024-04-25,1087.44,1089.56,1081.9,1089.31,1674003
2024-04-26,1095.63,1095.63,1070.19,1073.6,1501018
2024-04-29,1073.64,1074.42,1073.48,1074.04,1114184
2024-04-30,1083.7,1089.04,1077.43,1084.78,1672413
2024-05-01,1077.27,1084.49,1071.78,1084.42,1994307
2024-05-02,1078.43,1081.89,1052.47,1065.39,2227610
2024-05-03,1067.99,1067.99,1047.03,1054.39,1359215
2024-05-06,1054.91,1077.56,1054.91,1071.17,1809884
2024-05-07,1068.77,1090.38,1068.77,1089.59,1570886
2024-05-08,1093.38,1101.71,1093.38,1099.18,1588601
2024-05-09,1098.75,1098.75,1087.43,1097.49,1659680
2024-05-10,1099.0,1099.0,1080.01,1083.83,1039356
2024-05-13,1088.42,1106.28,1088.42,1097.51,1266211
2024-05-14,1103.41,1103.41,1090.0,1096.57,2399511
2024-05-15,1090.85,1090.85,1065.54,1070.74,1644545
2024-05-16,1071.15,1076.96,1071.07,1072.51,1489306
2024-05-17,1070.32,1092.48,1070.32,1089.25,1842529
2024-05-20,1092.72,1092.72,1080.98,1087.59,2365616
2024-05-21,1091.63,1096.11,1085.82,1091.31,1921342
2024-05-22,1087.06,1100.31,1087.06,1094.64,1809539
2024-05-23,1100.05,1100.05,1067.72,1070.38,1860510
2024-05-24,1064.34,1082.84,1064.34,1082.83,1412106
2024-05-27,1085.3,1085.3,1064.3,1065.62,1829372
2024-05-28,1064.45,1086.37,1064.45,1079.51,1586868
2024-05-29,1079.48,1079.48,1051.49,1059.05,1602723
2024-05-30,1059.66,1088.54,1059.66,1073.44,1571657
2024-05-31,1073.07,1098.26,1073.07,1091.9,1644790
2024-06-03,1096.39,1096.39,1076.75,1085.74,2119266
2024-06-04,1086.56,1086.56,1059.28,1072.02,1438311
2024-06-05,1071.87,1071.87,1055.6,1061.41,2235457
2024-06-06,1056.16,1056.16,1032.95,1042.75,1234543
2024-06-07,1031.98,1046.16,1031.98,1039.72,1708519
2024-06-10,1033.52,1069.86,1033.52,1062.74,2055295
2024-06-11,1061.16,1072.74,1059.08,1060.4,2020108
2024-06-12,1059.66,1062.96,1052.57,1054.48,1866526
2024-06-13,1061.81,1063.01,1057.08,1059.76,1356880
2024-06-14,1070.05,1083.96,1070.05,1082.39,1862008
2024-06-17,1082.91,1106.13,1082.91,1100.73,1589872
2024-06-18,1103.33,1103.33,1082.89,1083.56,1956267
2024-06-19,1081.15,1085.3,1073.73,1080.12,1386777
2024-06-20,1079.12,1079.12,1072.23,1078.03,1495871
2024-06-21,1080.07,1081.79,1077.35,1078.51,1139194
2024-06-24,1071.62,1075.93,1070.01,1074.15,1863671
2024-06-25,1076.09,1091.4,1076.09,1090.23,1898847
2024-06-26,1086.82,1100.08,1086.82,1099.6,1731824
2024-06-27,1097.44,1118.06,1097.44,1116.69,2114874
2024-06-28,1111.97,1111.97,1099.58,1105.79,1882375
2024-07-01,1103.97,1108.83,1099.8,1106.86,1977197
2024-07-02,1109.24,1109.24,1089.96,1094.11,1875151
2024-07-03,1094.03,1094.03,1079.88,1083.14,1849497
2024-07-04,1078.45,1078.45,1060.39,1064.81,1738125
2024-07-05,1064.58,1064.58,1035.13,1040.45,1402487
2024-07-08,1041.2,1041.2,1013.08,1028.03,2065772
2024-07-09,1029.47,1029.47,1022.44,1023.56,2237660
2024-07-10,1024.3,1027.41,1020.34,1023.17,2422480
2024-07-11,1014.59,1025.06,1013.31,1018.63,1931917
2024-07-12,1014.07,1014.07,989.5,1001.38,2027365
2024-07-15,1000.01,1000.01,983.96,985.02,1972876
2024-07-16,984.53,993.23,984.53,993.18,2000103
2024-07-17,991.53,994.14,979.12,985.64,1636307
2024-07-18,984.33,991.32,983.67,985.23,2072853
2024-07-19,980.81,1018.44,980.81,1010.03,3300823
2024-07-22,1016.6,1016.6,990.71,994.89,1968096
2024-07-23,993.62,993.62,974.05,977.26,1311924
2024-07-24,975.23,975.23,968.04,968.17,2094088
2024-07-25,973.39,973.39,952.31,956.55,1570737
2024-07-26,953.36,985.74,953.36,982.85,1897348
2024-07-29,985.53,985.53,962.61,968.37,2384051
2024-07-30,969.77,972.29,964.93,966.52,2150300
2024-07-31,963.92,974.72,963.92,966.59,926705
2024-08-01,974.11,974.11,954.55,957.92,2543501
2024-08-02,961.99,961.99,946.83,950.76,1632504
2024-08-05,948.91,961.12,947.95,948.56,1847965
2024-08-06,944.13,960.44,944.13,954.59,1688694
2024-08-07,951.03,979.86,951.03,975.52,1675436
2024-08-08,970.16,990.56,970.16,987.23,1683981
2024-08-09,979.92,1019.42,979.92,1007.29,1763968
2024-08-12,999.56,1009.57,985.58,1004.6,1573593
2024-08-13,999.83,1009.82,999.83,1004.44,1639490
2024-08-14,1010.2,1010.2,990.16,993.63,1537432
2024-08-15,993.42,993.42,987.49,989.24,1175128
2024-08-16,982.96,998.52,982.96,993.06,2264400
2024-08-19,986.29,998.02,986.29,991.19,1366521
2024-08-20,990.48,1004.6,990.48,1000.01,1729213
2024-08-21,989.65,989.65,984.83,987.66,2001065
2024-08-22,981.42,985.5,971.1,977.85,2275049
2024-08-23,976.56,976.56,955.62,959.05,1137811
2024-08-26,961.31,962.15,953.62,961.03,3014285
2024-08-27,965.47,965.47,935.83,941.85,2128735
2024-08-28,934.2,954.62,934.2,950.19,2483800
2024-08-29,953.04,957.29,950.44,955.79,2190105
2024-08-30,957.15,957.15,935.88,936.98,2182893
2024-09-02,939.57,939.57,913.21,925.45,2148225
2024-09-03,925.84,929.31,915.04,925.05,2289591
2024-09-04,922.27,922.27,910.19,915.15,2239249
2024-09-05,922.22,922.22,907.55,907.55,1923661
2024-09-06,903.28,921.59,903.28,917.56,1571557
2024-09-09,916.82,926.8,916.82,926.58,1720825
2024-09-10,931.4,944.25,931.4,940.59,1965675
2024-09-11,947.15,947.15,913.75,915.97,1508403
2024-09-12,913.4,914.37,903.65,909.4,1225630
2024-09-13,903.73,906.62,889.9,897.96,1591536
2024-09-16,897.79,897.79,888.31,890.87,1627209
2024-09-17,892.56,894.64,884.9,886.17,765584
2024-09-18,887.49,890.94,877.24,879.49,1530280
2024-09-19,874.02,890.66,874.02,885.22,1695324
2024-09-20,892.09,892.81,889.27,889.95,1634232
2024-09-23,888.64,900.06,876.0,885.4,1329593
2024-09-24,880.32,906.37,880.32,899.7,1967590
2024-09-25,892.03,899.54,887.67,893.26,2026865
2024-09-26,885.91,909.51,885.91,898.45,1465551
2024-09-27,891.41,901.34,891.41,899.42,1668020
2024-09-30,898.02,918.59,898.02,910.16,2239042
2024-10-01,913.17,935.8,913.17,929.13,1484046
2024-10-02,929.03,929.03,911.37,913.27,1568511
2024-10-03,913.52,913.52,903.66,909.24,1898421
2024-10-04,916.05,916.05,904.38,908.66,1559502
2024-10-07,905.89,927.32,905.89,922.4,1545663
2024-10-08,924.75,932.38,924.75,931.33,1440433
2024-10-09,930.89,930.89,922.32,923.26,1868482
2024-10-10,928.97,928.97,910.45,915.48,2084523
2024-10-11,913.09,921.5,913.09,917.8,2315754
2024-10-14,918.99,948.11,918.99,937.0,1966543
2024-10-15,936.27,940.73,936.27,937.25,2503592
2024-10-16,937.81,939.76,934.41,939.38,1916648
2024-10-17,935.11,945.82,935.11,938.95,1884060
2024-10-18,940.0,940.0,921.76,925.92,1759946
2024-10-21,925.37,941.8,924.7,930.82,1938103
2024-10-22,929.13,935.82,929.13,930.21,1372561
2024-10-23,932.69,935.35,927.47,934.17,2093868
2024-10-24,928.67,942.82,928.67,938.06,2951604
2024-10-25,937.01,937.01,924.19,926.19,1566379
2024-10-28,925.72,925.72,897.78,905.33,1526320
2024-10-29,908.71,908.71,894.64,897.77,1645528
2024-10-30,896.31,907.27,896.31,900.11,1963503
2024-10-31,898.72,904.53,898.72,903.59,2338443
2024-11-01,899.62,916.27,899.62,913.63,1534455
2024-11-04,917.93,917.93,905.95,910.85,1801437
2024-11-05,908.11,908.11,874.97,888.76,1580348
2024-11-06,886.65,886.65,880.07,882.16,2400998
2024-11-07,876.44,901.06,876.44,894.93,1474155
2024-11-08,890.44,923.46,890.44,911.22,1742399
2024-11-11,910.97,918.42,904.74,909.16,2050807
2024-11-12,909.5,910.79,906.0,906.32,2153622
2024-11-13,905.71,905.71,894.24,895.97,1725887
2024-11-14,897.55,899.44,891.4,895.7,1361959
2024-11-15,896.71,909.32,896.71,908.14,1866911
2024-11-18,905.57,922.72,905.57,916.35,1557607
2024-11-19,916.41,916.41,903.93,905.47,1603457
2024-11-20,901.7,901.7,894.66,897.36,1739330
2024-11-21,900.4,900.4,889.98,894.42,1816357
2024-11-22,897.61,898.57,895.57,895.74,2462403
2024-11-25,894.53,898.88,891.82,896.52,1348678
2024-11-26,899.64,914.7,896.45,906.17,1875076
2024-11-27,901.96,916.16,901.49,906.64,1560745
2024-11-28,907.13,909.16,902.86,903.7,1474457
2024-11-29,905.06,928.68,905.06,920.99,1717006
2024-12-02,918.61,928.95,918.61,925.52,1526561
2024-12-03,927.7,933.94,927.0,931.26,2216238
2024-12-04,929.34,945.66,929.34,941.23,1695246
2024-12-05,942.74,942.74,916.74,920.46,2010993
2024-12-06,918.55,918.55,903.54,905.44,1866808
2024-12-09,897.63,897.63,883.75,892.79,2086665
2024-12-10,887.76,887.76,871.25,878.72,1640457
2024-12-11,877.8,879.46,871.95,874.31,2103073
2024-12-12,877.87,888.12,877.87,885.93,2507408
2024-12-13,888.94,902.35,887.9,892.87,1363925
2024-12-16,890.75,890.75,872.02,880.85,2146934
2024-12-17,879.11,879.11,866.64,873.73,2209376
2024-12-18,878.26,878.26,866.87,875.83,1449257
2024-12-19,875.88,892.87,875.88,889.59,2229216
2024-12-20,892.48,892.48,874.69,877.45,1715845
2024-12-23,878.69,891.71,878.69,887.92,1239966
2024-12-24,885.31,893.14,885.31,892.18,1703922
2024-12-25,889.82,889.82,870.72,876.65,2257959
2024-12-26,875.56,886.53,874.68,882.72,1381402
2024-12-27,878.25,895.83,878.25,891.57,2295660
2024-12-30,886.43,905.04,886.43,897.64,1606947
2024-12-31,895.44,895.44,881.03,885.45,2089705
